Property_ID,Micro_Market,Project_Name,Developer_Name,Unit_Size_Sqft,Configuration,Ticket_Price_Cr,Transaction_Type,Buyer_Type,Purchase_Quarter,Connectivity_Score,Amenity_Score,Possession_Status,Sales_Channel,NRI_Buyer,Locality_Infra_Score,Avg_Traffic_Time_Min,Buyer_Comments,Price_per_Sqft,Quarter_Number,Booking_Flag,Booking_Conversion_Helper
PROP000030,MG ROAD,Project_29,SNN Raj,8436.0,5BHK+,12.72100551,Primary,HNI,2024-12-31,8.35104956,7.658513274,Under construction,Broker,no,8.255982685,34,data_not_given,15079.428058321479,4,1,1
PROP000031,WHITEFIELD,Project_30,L&T Realty,4460.0,5BHK+,10.87427415,Primary,Other,2024-06-30,4.334881288,8.150177393,Ready to move,Online,yes,9.522717347,68,data_not_given,24381.780605381166,2,1,1
PROP000032,HEBBAL,Project_31,Tata Housing,5228.0,5BHK+,12.21153224,Secondary,HNI,2023-12-31,4.989088795,7.499766492,Launch,Direct,no,8.878640191,95,Will buy after possession.,23357.942310635044,4,0,1
PROP000033,MG ROAD,Project_32,Tata Housing,8432.0,3BHK,8.431399528,Secondary,HNI,2024-03-31,4.912994077,5.86181751,Ready to move,Online,yes,7.522818863,60,Too far from my office.,9999.287865275142,1,0,1
PROP000034,JP NAGAR,Project_33,Tata Housing,6010.0,5BHK+,15.01877994,Primary,CXO,2024-09-30,7.991543806,5.489478383,Ready to move,Direct,yes,6.337525546,64,Great value for money.,24989.65048252912,3,1,1
PROP000035,JAYANAGAR,Project_34,Puravankara,3349.0,3BHK,13.27725727,Secondary,HNI,2024-12-31,8.930913892,7.451842236,Under construction,Online,yes,7.374077137,31,Too far from my office.,39645.438250223946,4,0,1
PROP000036,BANNERGHATTA ROAD,Project_35,Embassy,5317.0,5BHK+,9.94634474,Secondary,Startup Founder,2024-09-30,6.741913487,8.584819853,Under construction,Broker,no,9.144581061,38,Excellent location!,18706.685612187324,3,0,1
PROP000037,MG ROAD,Project_36,Prestige,5580.0,4BHK,15.88842707,Primary,CXO,2025-03-31,5.470160903,7.196650945,Under construction,Online,yes,6.177012821,118,data_not_given,28473.883637992836,1,1,1
PROP000038,KANAKAPURA ROAD,Project_37,SNN Raj,3449.0,4BHK,12.1421109,Secondary,Startup Founder,2024-03-31,8.388377021,7.499766492,Under construction,Broker,no,6.681844245,42,data_not_given,35204.72861699043,1,0,1
PROP000039,HEBBAL,Project_38,Embassy,8680.0,3BHK,14.11,Secondary,CXO,2023-09-30,7.038034208,9.771873149,Ready to move,Online,no,8.684605383,37,Will buy after possession.,16255.760368663594,3,0,1
PROP000040,KORAMANGALA,Project_39,Embassy,6347.0,5BHK+,11.04,Secondary,Startup Founder,2024-09-30,5.559727877,5.318182321,Ready to move,Broker,yes,8.903610136,93,data_not_given,17394.044430439575,3,0,1
PROP000041,KORAMANGALA,Project_40,Godrej,7987.0,3BHK,12.719069067561703,Primary,CXO,2023-09-30,6.981554031,5.087538973,Ready to move,Online,yes,7.1978181,72,Connectivity is poor.,15924.713994693506,3,1,1
PROP000042,BELLARY ROAD,Project_41,RMZ,6217.0,3BHK,13.69060439,Primary,Startup Founder,2025-03-31,9.087707006,5.961564981,Ready to move,Direct,no,6.248928888,111,Connectivity is poor.,22021.239166800708,1,1,1
PROP000043,JP NAGAR,Project_42,RMZ,3360.0,5BHK+,16.48764298,Secondary,NRI,2023-12-31,6.093933033,6.338856633,Launch,Broker,yes,9.994005118,19,Too far from my office.,49070.36601190476,4,0,1
PROP000044,ELECTRONIC CITY,Project_43,SNN Raj,7659.0,3BHK,12.719069067561703,Secondary,NRI,2023-12-31,6.180085305,7.56549608,Ready to move,NRI Desk,no,5.365011397,34,Too far from my office.,16606.69678490887,4,0,1
PROP000045,MG ROAD,Project_44,Puravankara,5320.0,4BHK,13.73863276,Secondary,Startup Founder,2023-12-31,8.612229753,5.769913843,Launch,Broker,yes,9.946814035,63,Underpriced for location.,25824.49766917293,4,0,1
PROP000046,MG ROAD,Project_45,Brigade,6010.0,5BHK+,15.67178253,Primary,NRI,2023-12-31,8.186104821,9.515085188,Launch,NRI Desk,yes,5.414197577,57,Agent was not responsive.,26076.17725457571,4,1,1
PROP000047,ELECTRONIC CITY,Project_46,Prestige,4541.0,3BHK,13.24417202,Secondary,Other,2024-06-30,7.736346236,5.288030802,Launch,Broker,yes,7.03908276,73,Underpriced for location.,29165.760889671878,2,0,1
PROP000048,BELLARY ROAD,Project_47,Embassy,8794.0,5BHK+,14.59366744,Secondary,Startup Founder,2023-09-30,9.993549515,5.948183585,Ready to move,NRI Desk,yes,5.689906721,72,data_not_given,16595.027791676144,3,0,1
PROP000049,HENNUR ROAD,Project_48,Embassy,8346.0,5BHK+,10.03,Secondary,CXO,2023-09-30,5.609794937,9.549842973,Launch,Online,no,9.707940993,53,data_not_given,12017.733045770428,3,0,1
PROP000050,HENNUR ROAD,Project_49,L&T Realty,6010.0,5BHK+,14.30410893,Secondary,Startup Founder,2024-09-30,9.587302479,7.499766492,Under construction,Direct,no,8.8581301,20,Agent was not responsive.,23800.5140266223,3,0,1
PROP000051,BELLARY ROAD,Project_50,Total Environment,7385.0,4BHK,8.740334802,Primary,HNI,2024-09-30,4.039299314,6.75618542,Launch,Online,yes,5.314061429,34,Will buy after possession.,11835.253624915369,3,1,1
PROP000052,HENNUR ROAD,Project_51,L&T Realty,3163.0,4BHK,12.719069067561703,Secondary,HNI,2023-12-31,6.697532435,7.002978573,Launch,Broker,yes,5.617319878,56,Great value for money.,40212.04257844357,4,0,1
PROP000053,RAJAJINAGAR,Project_52,Sobha,8483.0,5BHK+,14.66286449,Secondary,CXO,2024-12-31,7.880878887,9.240297312,Ready to move,Broker,yes,9.980242157,77,Excellent location!,17284.998809383473,4,0,1
PROP000054,MG ROAD,Project_53,Sobha,7849.0,3BHK,12.719069067561703,Secondary,CXO,2025-03-31,8.480134272,9.820831449,Launch,Online,no,5.609899999,55,Underpriced for location.,16204.700047855398,1,0,1
PROP000055,SARJAPUR ROAD,Project_54,SNN Raj,5996.5,3BHK,9.168419242,Secondary,NRI,2023-06-30,5.835939633,5.141939471,Under construction,Direct,yes,8.48572423,53,Excellent location!,15289.617680313517,2,0,1
PROP000056,INDIRANAGAR,Project_55,Embassy,6010.0,5BHK+,18.77438349,Primary,Other,2023-06-30,8.866730939,9.716658202,Under construction,Online,yes,6.66379985,43,Underpriced for location.,31238.574858569053,2,1,1
PROP000057,ELECTRONIC CITY,Project_56,L&T Realty,4311.0,4BHK,5.548916625,Primary,Startup Founder,2024-09-30,4.642350413,8.39536182,Under construction,Online,yes,8.965324569,74,Great value for money.,12871.530097425193,3,1,1
PROP000058,KANAKAPURA ROAD,Project_57,Embassy,8068.0,5BHK+,10.89958417,Primary,CXO,2024-03-31,7.042245419,6.875360937,Ready to move,Direct,no,7.769883996,35,Underpriced for location.,13509.648202776401,1,1,1
PROP000059,RAJAJINAGAR,Project_58,Brigade,6010.0,5BHK+,11.98309753,Secondary,NRI,2023-09-30,7.535980197,7.499766492,Under construction,Direct,no,7.763522684,100,Will buy after possession.,19938.598219633943,3,0,1
PROP000060,WHITEFIELD,Project_59,Prestige,7239.0,5BHK+,13.60559804,Secondary,Startup Founder,2023-06-30,6.225368572,7.930664583,Ready to move,Direct,yes,7.921263217,107,Agent was not responsive.,18794.858461113414,2,0,1
PROP000061,RAJAJINAGAR,Project_60,Prestige,5368.0,3BHK,9.991476354,Secondary,Other,2024-12-31,6.996373801,5.22155701,Ready to move,Broker,yes,9.340305227,65,Connectivity is poor.,18613.03344634873,4,0,1
PROP000062,SARJAPUR ROAD,Project_61,L&T Realty,8465.0,3BHK,9.548712015,Primary,Other,2024-03-31,5.641537501,5.479467974,Launch,Online,yes,5.883829236,17,data_not_given,11280.226834022444,1,1,1
PROP000063,WHITEFIELD,Project_62,Prestige,4423.0,5BHK+,7.17,Primary,NRI,2023-09-30,4.078061537,7.035031525,Launch,Online,yes,6.140013581,80,Underpriced for location.,16210.716708116663,3,1,1
PROP000064,KANAKAPURA ROAD,Project_63,Sobha,5860.0,3BHK,13.88968019,Primary,Other,2023-12-31,8.304822066,7.499766492,Launch,Broker,yes,9.579096615,56,Loved the amenities!,23702.525921501707,4,1,1
PROP000065,SARJAPUR ROAD,Project_64,Prestige,3042.0,4BHK,12.719069067561703,Secondary,Startup Founder,2024-09-30,7.538563299,7.344103375,Launch,Direct,yes,8.458591386,30,Agent was not responsive.,41811.53539632381,3,0,1
PROP000066,DOMLUR,Project_65,Embassy,4243.0,3BHK,8.903194812,Secondary,HNI,2023-09-30,8.179278357,9.259362111,Ready to move,Direct,no,5.902870119,16,data_not_given,20983.254329483858,3,0,1
PROP000067,INDIRANAGAR,Project_66,Embassy,3403.0,5BHK+,12.69700651,Primary,Startup Founder,2024-06-30,8.910023792,6.208102951,Under construction,Broker,no,5.107154503,69,Connectivity is poor.,37311.215133705555,2,1,1
PROP000068,KANAKAPURA ROAD,Project_67,RMZ,6270.0,5BHK+,13.30251658,Secondary,HNI,2023-06-30,6.45236462,8.283013872,Under construction,Broker,yes,6.407606905,27,data_not_given,21216.13489633174,2,0,1
PROP000069,MG ROAD,Project_68,Puravankara,3786.0,3BHK,6.535065352,Secondary,HNI,2024-09-30,5.831110969,5.383621049,Ready to move,NRI Desk,no,8.85266375,84,Great view from 15th floor.,17261.134051769677,3,0,1
PROP000070,HENNUR ROAD,Project_69,Embassy,3391.0,3BHK,13.9628055,Primary,Startup Founder,2025-03-31,8.903079869,8.398156572,Launch,Broker,no,7.519650826,25,data_not_given,41176.07048068416,1,1,1
PROP000071,DOMLUR,Project_70,Total Environment,5384.0,3BHK,10.19724003,Secondary,NRI,2024-06-30,6.375626203,7.508327271,Ready to move,Online,yes,6.955630917,112,Connectivity is poor.,18939.89604383358,2,0,1
PROP000072,JP NAGAR,Project_71,Puravankara,4234.0,4BHK,12.30142603,Primary,NRI,2023-09-30,5.217123351,8.6025699,Ready to move,Online,yes,5.08766532,18,Will buy after possession.,29053.91126594237,3,1,1
PROP000073,KANAKAPURA ROAD,Project_72,Prestige,4517.0,3BHK,9.277758981,Primary,Other,2023-09-30,8.447115088,6.078678928,Ready to move,Online,no,9.356546096,17,Agent was not responsive.,20539.64795439451,3,1,1
PROP000074,JP NAGAR,Project_73,L&T Realty,6760.0,3BHK,10.14234967,Primary,Other,2024-03-31,9.875169075,7.820255994,Ready to move,Online,no,8.108039598,67,Underpriced for location.,15003.475843195267,1,1,1
PROP000075,WHITEFIELD,Project_74,Sobha,5194.0,3BHK,7.415523153,Secondary,Startup Founder,2023-06-30,7.329620714,7.178567978,Ready to move,NRI Desk,no,5.515450972,51,Great view from 15th floor.,14277.095019252984,2,0,1
PROP000076,DOMLUR,Project_75,Embassy,5996.5,3BHK,14.57,Secondary,HNI,2024-12-31,4.153405597,9.923581149,Launch,Direct,yes,5.458146993,39,Will buy after possession.,24297.50687901276,4,0,1
PROP000077,INDIRANAGAR,Project_76,Embassy,6617.0,5BHK+,10.10811122,Secondary,HNI,2024-06-30,9.220255715,7.619428952,Under construction,NRI Desk,no,6.418831577,50,Underpriced for location.,15275.972827565362,2,0,1
PROP000078,MG ROAD,Project_77,Brigade,5996.5,3BHK,14.0072693,Primary,HNI,2024-09-30,7.879977244,6.126417771,Ready to move,NRI Desk,no,5.769799427,114,Connectivity is poor.,23359.074960393562,3,1,1
PROP000079,BELLARY ROAD,Project_78,Total Environment,4985.0,5BHK+,8.581906427,Secondary,HNI,2025-03-31,9.989816044,9.957310151,Launch,Broker,yes,5.643776419,47,Loved the amenities!,17215.459231695084,1,0,1
PROP000080,MG ROAD,Project_79,Prestige,3912.0,5BHK+,100.0,Primary,Other,2023-12-31,5.287413306,9.26387267,Ready to move,Direct,yes,5.851431551,95,Connectivity is poor.,255623.7218813906,4,1,1
PROP000081,SARJAPUR ROAD,Project_80,Puravankara,4146.0,5BHK+,8.55,Primary,CXO,2024-12-31,8.594144394,8.443504896,Under construction,Online,no,5.163267799,69,Too far from my office.,20622.28654124457,4,1,1
PROP000082,MG ROAD,Project_81,Total Environment,7745.0,4BHK,17.69116969,Primary,NRI,2024-03-31,9.808367035,7.499766492,Launch,NRI Desk,no,6.954331406,101,data_not_given,22842.05253712072,1,1,1
PROP000083,BANNERGHATTA ROAD,Project_82,Puravankara,6582.0,4BHK,14.6697778,Secondary,Startup Founder,2023-06-30,7.040551686,9.942667036,Under construction,NRI Desk,yes,5.684409677,23,Excellent location!,22287.720753570342,2,0,1
PROP000084,YELAHANKA,Project_83,Puravankara,3764.0,4BHK,10.3239039,Secondary,CXO,2024-03-31,6.927076801,7.367865704,Ready to move,Online,no,8.650628694,64,data_not_given,27428.01248671626,1,0,1
PROP000085,BELLARY ROAD,Project_84,L&T Realty,7035.0,4BHK,16.34985595,Secondary,CXO,2025-03-31,7.633395162,7.203425911,Launch,Direct,yes,7.868256086,66,Great value for money.,23240.733404406536,1,0,1
PROP000086,RAJAJINAGAR,Project_85,Total Environment,8823.0,3BHK,4.99,Primary,NRI,2023-09-30,8.50844808,7.4201325,Launch,Broker,yes,7.510513154,93,Excellent location!,5655.672673693755,3,1,1
PROP000087,HENNUR ROAD,Project_86,Prestige,5646.0,3BHK,10.66582214,Secondary,Other,2023-12-31,4.48902642,6.029154975,Launch,Online,yes,8.92102772,33,data_not_given,18890.935423308536,4,0,1
PROP000088,HEBBAL,Project_87,Godrej,3493.0,4BHK,9.375820609,Secondary,Startup Founder,2024-09-30,5.38965663,5.742263604,Ready to move,Direct,no,8.548256879,78,Connectivity is poor.,26841.742367592327,3,0,1
PROP000089,INDIRANAGAR,Project_88,Tata Housing,8805.0,3BHK,10.92866506,Secondary,Startup Founder,2025-03-31,8.867245901,8.766325716,Under construction,Broker,yes,6.202395976,71,Too far from my office.,12411.885360590575,1,0,1
PROP000090,DOMLUR,Project_89,Total Environment,5449.0,5BHK+,8.501684372,Primary,HNI,2025-03-31,7.562117169,8.87716845,Launch,Broker,no,7.146719857,77,data_not_given,15602.283670398238,1,1,1
PROP000091,YELAHANKA,Project_90,Total Environment,7828.0,5BHK+,12.719069067561703,Primary,Startup Founder,2025-03-31,4.062004346,7.499766492,Launch,Broker,no,8.460383468,65,data_not_given,16248.17203316518,1,1,1
PROP000092,INDIRANAGAR,Project_91,Total Environment,6779.0,5BHK+,15.1468046,Primary,Other,2024-03-31,7.509346036,7.90305911,Under construction,Online,yes,5.597070216,44,data_not_given,22343.71529724148,1,1,1
PROP000093,DOMLUR,Project_92,Brigade,6010.0,5BHK+,17.05270599,Primary,HNI,2024-03-31,5.099297285,7.499766492,Under construction,Online,no,7.511757125,30,data_not_given,28373.88683860233,1,1,1
PROP000094,HENNUR ROAD,Project_93,Tata Housing,5373.0,4BHK,16.01025901,Secondary,CXO,2025-03-31,9.741085102,6.222704018,Under construction,Online,yes,9.840476984,85,Great view from 15th floor.,29797.61587567467,1,0,1
PROP000095,JAYANAGAR,Project_94,RMZ,3253.0,4BHK,12.76,Secondary,Startup Founder,2023-09-30,5.394828942,6.365875862,Ready to move,NRI Desk,no,8.245730621,85,Loved the amenities!,39225.3304641869,3,0,1
PROP000096,JAYANAGAR,Project_95,Total Environment,7566.0,3BHK,10.87191909,Secondary,NRI,2024-09-30,9.970301531,5.284964364,Ready to move,Direct,yes,9.109278761,104,data_not_given,14369.441038858049,3,0,1
PROP000097,JP NAGAR,Project_96,Total Environment,4415.0,3BHK,14.28873445,Primary,Startup Founder,2024-06-30,6.143987713,7.090854562,Launch,Direct,no,6.542562274,66,Agent was not responsive.,32364.064439411097,2,1,1
PROP000098,INDIRANAGAR,Project_97,Brigade,3695.0,5BHK+,14.09209815,Primary,Startup Founder,2024-12-31,8.942119837,9.296411264,Under construction,NRI Desk,no,7.305157606,40,Underpriced for location.,38138.2899864682,4,1,1
PROP000099,JAYANAGAR,Project_98,Total Environment,4595.0,5BHK+,11.91263798,Primary,HNI,2024-06-30,6.572467558,6.448704434,Ready to move,Direct,no,7.993404817,27,Connectivity is poor.,25925.218672470077,2,1,1
PROP000100,BANNERGHATTA ROAD,Project_99,RMZ,7711.0,4BHK,15.70593956,Primary,Other,2024-09-30,7.33720375,8.700838436,Launch,Online,no,7.491647369,44,Will buy after possession.,20368.22663727143,3,1,1
PROP000101,BELLARY ROAD,Project_100,Sobha,5226.0,3BHK,14.99506653,Secondary,Other,2024-12-31,8.424322533,9.170553799,Under construction,Broker,no,6.35686593,77,data_not_given,28693.20040183697,4,0,1
PROP000102,DOMLUR,Project_101,Brigade,3080.0,4BHK,5.100600449,Primary,HNI,2023-06-30,4.294491164,9.437782762,Ready to move,Online,no,7.291339008,30,Agent was not responsive.,16560.39106818182,2,1,1
PROP000103,JP NAGAR,Project_102,Tata Housing,4516.0,3BHK,15.3313938,Secondary,HNI,2025-03-31,5.507276003,6.459071421,Under construction,NRI Desk,yes,9.577319003,34,Too far from my office.,33949.056244464125,1,0,1
PROP000104,MG ROAD,Project_103,Brigade,8134.0,3BHK,14.82665092,Secondary,HNI,2024-12-31,4.027893693,9.501911669,Under construction,Online,no,8.715886252,114,Agent was not responsive.,18227.99473813622,4,0,1
PROP000105,DOMLUR,Project_104,Prestige,4667.0,3BHK,9.014266493,Primary,Other,2024-06-30,8.684774548,5.920046927,Launch,NRI Desk,no,6.631235992,53,Agent was not responsive.,19314.905706020996,2,1,1
PROP000106,JP NAGAR,Project_105,SNN Raj,8035.0,3BHK,10.08555814,Secondary,NRI,2023-09-30,9.154012408,6.632838924,Ready to move,Direct,yes,5.332242939,39,Great view from 15th floor.,12552.03253266957,3,0,1
PROP000107,HENNUR ROAD,Project_106,Puravankara,4040.0,5BHK+,15.23661207,Secondary,HNI,2024-03-31,7.499449606,6.269995586,Launch,Direct,no,5.86945425,99,Great value for money.,37714.386311881186,1,0,1
PROP000108,INDIRANAGAR,Project_107,RMZ,6438.0,5BHK+,15.54,Primary,HNI,2023-09-30,5.662672177,9.830960512,Launch,Online,no,6.665158033,43,Loved the amenities!,24137.931034482757,3,1,1
PROP000109,HENNUR ROAD,Project_108,SNN Raj,3034.0,4BHK,9.844790095,Secondary,NRI,2024-06-30,9.221430115,9.420947434,Launch,NRI Desk,no,8.506413311,91,Underpriced for location.,32448.2204845089,2,0,1
PROP000110,BELLARY ROAD,Project_109,Sobha,6996.0,5BHK+,13.92592416,Secondary,Other,2023-12-31,7.736339898,9.633751179,Under construction,Broker,no,9.547326821,79,data_not_given,19905.551972555746,4,0,1
PROP000111,ELECTRONIC CITY,Project_110,Sobha,7881.0,4BHK,5.267530334,Secondary,NRI,2024-09-30,6.101836833,7.499766492,Under construction,Broker,no,8.341536631,44,Agent was not responsive.,6683.834962568201,3,0,1
PROP000112,BELLARY ROAD,Project_111,Tata Housing,5996.5,3BHK,8.193398801,Secondary,Startup Founder,2024-06-30,9.813672584,9.415489674,Ready to move,NRI Desk,no,6.120955017,29,Great value for money.,13663.635122154592,2,0,1
PROP000113,YELAHANKA,Project_112,Tata Housing,5411.0,5BHK+,10.48764714,Primary,HNI,2024-09-30,9.854624197,9.033580333,Ready to move,Broker,yes,7.9283435,97,Underpriced for location.,19382.086749214563,3,1,1
PROP000114,HENNUR ROAD,Project_113,Embassy,6517.0,3BHK,14.3,Primary,CXO,2024-12-31,7.740568611,7.499766492,Launch,Online,yes,5.83058313,60,data_not_given,21942.611631118612,4,1,1
PROP000115,SARJAPUR ROAD,Project_114,SNN Raj,5029.0,4BHK,12.719069067561703,Primary,Startup Founder,2025-03-31,7.095347201,5.563704829,Under construction,Online,yes,9.167299351,31,Great view from 15th floor.,25291.447738241604,1,1,1
PROP000116,MG ROAD,Project_115,Tata Housing,7237.0,4BHK,10.43554689,Secondary,HNI,2024-12-31,8.94009272,7.48062137,Under construction,NRI Desk,yes,5.456816374,76,Agent was not responsive.,14419.713817880336,4,0,1
PROP000117,KANAKAPURA ROAD,Project_116,Embassy,7861.0,4BHK,11.27060343,Secondary,Startup Founder,2024-03-31,4.989424535,8.116138016,Launch,Direct,no,7.442241675,78,data_not_given,14337.366022134589,1,0,1
PROP000118,HENNUR ROAD,Project_117,Embassy,3014.0,5BHK+,11.45820514,Primary,HNI,2024-06-30,7.494353596,5.091339585,Under construction,Online,no,9.199315592,41,Agent was not responsive.,38016.60630391507,2,1,1
PROP000119,YELAHANKA,Project_118,Total Environment,3831.0,3BHK,15.99,Primary,CXO,2023-09-30,7.102626871,8.995241419,Ready to move,Broker,yes,7.98075526,98,Underpriced for location.,41738.44949099452,3,1,1
PROP000120,WHITEFIELD,Project_119,Godrej,4560.0,4BHK,11.38697643,Secondary,CXO,2024-12-31,9.317045974,6.262957507,Ready to move,Online,no,5.611003205,68,Will buy after possession.,24971.439539473686,4,0,1
